source,target,weight
575686,6603,1
556017,17135,1
588107,193328,1
138609,506173,1
681602,56682,1
209794,147798,1
188362,72337,1
549633,634552,1
68546,106197,1
102046,165633,1
106927,675496,1
603984,500288,2
654827,675721,1
570550,570550,1
48405,675862,1
530220,630596,1
94087,53014,1
561792,555732,1
692055,167679,1
667431,589748,1
240320,580812,5
683006,589734,1
10741,565297,1
28392,530220,1
566911,668988,1
337826,203275,1
101913,46464,1
634042,668937,1
221453,518336,1
212394,525170,1
558802,548225,1
559943,207112,1
689115,691121,1
653801,677429,2
175848,589777,1
234474,655086,1
579846,111373,1
85820,679326,1
79557,83268,1
55197,503323,1
515788,548870,1
63441,507226,1
14647,51425,1
584383,630596,2
634996,499944,1
637827,204151,1
655403,638928,1
567725,587474,1
209292,687864,1
655705,522281,1
247404,8982,1
667287,106004,1
536204,535264,2
639326,67023,1
692105,579958,1
550331,564156,1
690843,182639,1
653256,605791,1
500048,21645,1
71741,199522,1
517577,153665,1
637872,551362,1
547821,13770,1
198586,601254,1
683706,500191,1
189074,608398,1
687908,3481,1
40458,188487,1
567668,691439,1
18563,137814,1
118985,119665,1
16044,499965,1
102731,516522,1
46162,583271,1
516664,507649,1
177023,607908,1
83516,634208,1
50882,4894,1
678946,246067,1
635445,576336,1
79949,505380,1
502011,547904,1
690766,200203,1
681404,632440,1
133175,543555,1
520708,499315,1
176175,513014,1
541708,53010,1
206074,206859,1
679518,242124,1
504534,632494,1
633843,553156,1
234300,690843,1
669110,579254,2
48428,187968,1
668652,689362,1
218452,561839,1
38837,123209,1
531626,655086,1
571073,107237,1
634584,690766,1
30527,177299,1
541888,685983,1
682056,568631,1
228053,172385,1
635467,77583,1
512614,689115,1
522335,144642,1
131731,218450,1
634042,687729,1
552648,7715,1
584344,509957,1
566570,588244,2
677695,208600,1
514557,675496,1
586779,526543,1
689874,21180,1
603984,71741,1
100345,116452,1
504534,26649,1
555732,588395,1
117656,203265,1
501035,572502,1
632232,632232,1
183548,103761,1
59069,675862,1
536826,162330,1
2968,607903,1
114335,248209,1
588107,932,1
690138,654128,1
117313,15305,1
222120,580625,1
691925,684887,2
504659,684709,1
563338,689145,1
639567,683693,1
203598,674397,1
633859,65490,1
292325,545670,1
551789,551954,1
691265,602218,1
511910,687170,1
205417,212771,1
606809,680404,1
528423,589226,1
182316,510648,1
172325,639280,1
602403,72614,2
218337,523951,1
529841,526681,1
635325,508727,2
94509,690645,1
170846,639777,1
501871,61341,1
213684,512600,1
512055,507286,1
501951,20147,1
575216,631199,1
228053,499831,1
15548,535111,1
533703,152968,1
563061,527661,1
530062,543426,3
685890,97004,1
601808,675721,1
520275,184943,1
32237,537928,1
635350,651530,3
130964,634552,2
234406,336819,1
248535,499266,1
576698,23757,1
579842,169552,1
607778,130519,1
675721,111335,1
548225,540945,10
635288,499366,1
501644,15513,1
499906,163008,1
500638,532044,1
79767,145723,1
63837,561652,1
601885,172325,5
211648,3481,1
57299,204199,1
567553,533540,1
689354,684862,1
44600,574145,1
543994,234734,1
213679,601885,1
636045,678310,1
76577,131910,1
61486,133175,3
499363,193913,1
634585,556204,1
164224,529132,1
635078,640123,1
677011,559459,1
204200,653801,4
515788,586058,1
202556,676053,1
185213,688531,1
539541,29321,1
652334,180963,1
119075,681010,1
632037,569277,1
690169,164631,1
687471,105050,1
577096,502577,1
196693,636649,1
603057,543767,1
680172,163841,1
112030,227257,1
234488,227776,1
573492,553379,1
556822,183050,1
103432,586763,1
240661,633157,1
683693,670591,1
233095,172385,1
84781,66166,1
680854,637151,1
564037,564037,1
502218,531349,1
605829,152470,1
682745,70259,1
686745,674106,1
671619,517687,1
528071,200925,1
61486,512808,1
134597,157010,1
536047,527450,1
634510,572793,1
152248,45168,1
692218,670511,1
509724,600389,1
634735,507447,1
100885,689735,1
688310,499358,1
635467,61486,1
172325,505942,1
534069,554019,1
21668,94367,1
177434,548759,1
51918,601700,1
588836,520509,1
639659,105718,1
86917,606216,1
518698,688926,1
549143,673210,1
601254,685651,2
341298,543248,1
186791,500707,1
575998,683228,1
687901,85518,6
670439,189623,1
49497,528047,1
630908,677004,1
573087,635350,1
29181,337826,2
579474,246521,1
20700,515725,1
44670,630916,1
21142,671401,1
50002,137790,1
679691,219835,1
189848,249637,1
53860,81444,1
589777,185196,1
504911,556513,1
602349,588619,1
121623,133153,1
500010,17135,1
526993,547223,2
532100,180361,1
67301,160041,1
500110,217520,1
691649,174048,1
589718,224497,1
669110,570117,1
671974,28699,1
569277,108019,1
175860,634004,1
554822,130491,1
170029,547456,1
297728,85358,1
499749,680159,1
39168,499205,1
63280,583231,2
533599,632891,1
540897,575657,2
127886,11127,1
85358,691628,1
204419,635061,1
691288,554924,4
501035,565801,1
10705,511146,1
513767,17135,1
669585,567086,1
211910,603608,1
682745,607118,1
175527,191779,1
669150,588183,1
58444,575063,1
580319,228466,1
212153,50446,1
685760,566938,1
682009,608046,1
552174,165535,1
577300,575657,1
533242,565801,1
183392,510266,2
589748,686053,3
691033,573087,1
655420,605953,1
634554,575686,1
27289,503661,1
34901,166392,2
563338,211390,2
149514,30537,5
691121,34027,1
629747,690190,1
511521,575739,1
689497,525033,2
527744,66166,2
216766,606622,1
500699,685426,1
688837,224333,1
686050,525685,1
116350,24192,1
577279,502063,1
188754,684611,1
691070,635350,1
10705,60514,1
534185,684808,1
634996,2968,1
541767,675862,1
673429,226524,1
97371,208564,1
219450,499877,1
30223,669955,1
501974,176957,1
227612,665847,1
248515,85358,1
135374,33559,1
553978,507649,1
654445,137950,1
297728,522648,1
565321,691524,3
603113,601189,1
234488,640073,1
250562,44430,1
176814,176874,1
499212,500836,1
192346,666871,1
608762,546090,1
559569,21554,1
169493,508338,1
121873,550603,2
129433,587226,2
540101,673428,2
544704,81996,1
3479,87685,1
634585,503323,1
245234,580625,1
581237,666961,1
553628,76596,1
185213,141593,1
669110,170015,1
686870,586590,1
545405,519329,1
690843,666841,1
637640,605172,1
103223,59588,1
58600,499631,1
76355,582189,2
275898,56270,1
560943,75189,1
567774,692189,1
607549,684661,1
499602,523719,1
501428,655370,1
27741,689782,1
50503,654549,1
75733,143620,2
174372,575173,1
29181,671476,1
666500,552156,1
585485,640048,1
128234,501428,1
691809,130964,1
153666,244585,1
509546,509522,1
575211,608649,1
606522,586119,1
185213,560419,1
588107,549658,1
672394,565895,1
633359,635325,2
690766,640516,1
684930,677647,1
94907,223700,1
194852,89703,1
176252,216571,1
574217,562934,1
502063,671794,1
523052,150739,1
169493,186514,1
521197,504989,1
636434,633843,1
690843,580188,2
333436,567581,1
163057,688651,1
530220,689735,1
506634,636649,1
122701,552648,1
559569,668757,1
575739,635467,1
574429,145055,1
117560,686674,1
499205,177227,1
39212,206774,2
689861,570140,1
521235,72337,1
503928,689983,1
692218,574429,1
176957,156736,1
677943,150216,1
678541,682203,3
671476,522281,1
71741,106203,1
119075,638213,1
77640,143035,1
101913,248665,1
501035,317761,1
233356,691288,1
12659,227909,1
526375,24192,1
214638,212771,1
689104,633485,1
85820,540551,1
573992,550398,1
524093,247340,1
548592,55475,1
603166,501698,1
504993,1277,1
546036,144385,9
666194,205065,1
566570,561839,1
607049,46793,1
41348,204151,1
521475,565355,1
165885,238360,1
688491,586443,3
131507,566208,1
239292,525222,1
63837,685067,1
669320,35038,1
527054,686242,1
499308,219628,1
548811,507447,1
651371,97871,1
586587,607127,1
509054,511886,1
94509,37541,1
633396,636595,1
688820,680781,1
32173,630426,1
64217,53168,2
182345,636100,1
573492,13770,1
551313,55197,1
186514,231939,1
51778,507060,1
520826,151819,1
106927,240232,3
85820,87128,1
543186,525169,2
667739,309150,1
668410,673389,1
541767,208445,1
137950,196753,1
606890,679936,1
505849,226544,1
23572,603376,1
655508,688895,1
680364,539852,1
686990,504751,1
583231,6602,1
71741,75271,3
688393,71638,1
680406,238047,1
51918,690398,1
33443,528969,1
172784,505698,1
202679,131910,1
506316,499315,1
50710,27741,2
677647,605165,1
500886,208499,1
685334,587250,1
204199,238294,1
604799,527835,1
686446,690544,1
534006,589198,4
571503,652752,1
149960,607807,1
178083,685384,1
669810,97004,1
584344,633552,1
589965,114705,1
601885,505942,3
37000,691829,1
220003,68546,4
563271,30008,1
605993,655410,1
691306,207696,1
532016,50499,1
634584,112030,1
573087,526467,2
236690,169070,1
30980,85258,2
549343,76763,1
509775,117466,1
76355,605186,1
151943,206053,1
683731,245964,1
509276,553260,1
151846,634554,2
686874,603183,1
106346,686990,1
182345,513829,1
175387,679401,1
691649,669817,1
500229,589970,1
667618,559032,1
606151,539522,1
504209,687729,1
523951,115312,3
499906,601254,1
46764,581271,1
605993,126172,1
676073,690068,1
37541,504911,1
41348,499499,1
37783,83518,1
505351,248515,1
159867,539590,1
677375,180361,2
84375,675246,1
513008,45524,1
137790,639445,1
509253,575182,1
675611,556816,1
62021,151559,1
14868,651471,1
603207,549903,1
516017,670118,1
681644,634171,1
606890,576629,1
565297,537955,1
53860,691306,3
44670,563022,1
555871,569699,2
555871,601292,1
546450,575690,1
128142,525936,1
219799,12659,5
180735,634783,1
49258,690843,1
504463,564772,1
155723,509957,1
584045,77838,1
683693,545638,1
685651,235910,1
162073,667743,1
504209,666698,1
19792,526006,1
152296,225355,1
180916,572685,1
543496,677004,1
